board_size,game_time,agent_x_name,agent_o_name,agent_x_time,agent_o_time,winner
3,0.0002310276031494,RLAgent,Random Agent,2.121850025105232e-05,6.5962473551432294e-06,RLAgent
3,0.0003759860992431,RLAgent,Random Agent,2.4074999964796005e-05,9.953975677490234e-06,Draw
3,0.0002031326293945,RLAgent,Random Agent,2.6625000221732385e-05,7.987022399902344e-06,RLAgent
3,0.0002439022064208,RLAgent,Random Agent,2.066699994429655e-05,6.973743438720703e-06,Random Agent
3,0.0002379417419433,RLAgent,Random Agent,2.2218750018510036e-05,7.311503092447917e-06,RLAgent
3,0.0002579689025878,RLAgent,Random Agent,1.819179979065666e-05,6.496906280517578e-06,RLAgent
3,0.0001647472381591,RLAgent,Random Agent,2.0777666577487253e-05,6.9141387939453125e-06,RLAgent
3,0.0001790523529052,RLAgent,Random Agent,2.2555333089258056e-05,7.033348083496094e-06,RLAgent
3,0.0001580715179443,RLAgent,Random Agent,2.0430332976199377e-05,6.9141387939453125e-06,RLAgent
3,0.0002119541168212,RLAgent,Random Agent,1.90522496268386e-05,6.357828776041667e-06,RLAgent
3,0.0001759529113769,RLAgent,Random Agent,2.2138666887864627e-05,7.867813110351562e-06,RLAgent
3,0.0002861022949218,RLAgent,Random Agent,2.008320043387357e-05,7.152557373046875e-06,Draw
3,0.0001778602600097,RLAgent,Random Agent,2.30276667328629e-05,7.510185241699219e-06,RLAgent
3,0.0002849102020263,RLAgent,Random Agent,2.092520007863641e-05,6.794929504394531e-06,RLAgent
3,0.0002501010894775,RLAgent,Random Agent,1.7249999837076756e-05,6.4373016357421875e-06,RLAgent
3,0.0001599788665771,RLAgent,Random Agent,2.073633337810558e-05,6.4373016357421875e-06,RLAgent
3,0.0001749992370605,RLAgent,Random Agent,2.234699968539644e-05,7.033348083496094e-06,RLAgent
3,0.0002250671386718,RLAgent,Random Agent,2.049974978035607e-05,7.390975952148437e-06,RLAgent
